word,spell_band,spell_band_name,typical_window,read_band,word_type,pattern,spelling_expectation,picture_friendly,moviedu_priority,letter_count,ca_standards,sources,notes
win,2,Late fall,Oct–Dec,2,decodable,CVC-short-i,conventional-K,yes,good-fit,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
zip,2,Late fall,Oct–Dec,2,decodable,CVC-short-i,conventional-K,yes,start-here,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
not,2,Late fall,Oct–Dec,2,both,CVC-short-o,conventional-K,no,later,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d; RF.K.3.c,Kindergarten CVC / short-vowel sequence; Dolch Pre-primer (40); widely used in CA K for RF.K.3.c,"Conventional spelling is the K target: map each sound to a letter (L.K.2.d). California requires these to be *read* by sight, not necessarily spelled conventionally. Invented/phonetic spelling is the official K writing standard (L.K.2.d)."
run,2,Late fall,Oct–Dec,2,both,CVC-short-u,conventional-K,yes,start-here,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d; RF.K.3.c,Kindergarten CVC / short-vowel sequence; Dolch Pre-primer (40); widely used in CA K for RF.K.3.c,"Conventional spelling is the K target: map each sound to a letter (L.K.2.d). California requires these to be *read* by sight, not necessarily spelled conventionally. Invented/phonetic spelling is the official K writing standard (L.K.2.d)."
see,2,Late fall,Oct–Dec,1,high-frequency,HFW-pre-primer,conventional-K,yes,good-fit,3,RF.K.3.c,Dolch Pre-primer (40); widely used in CA K for RF.K.3.c,"California requires these to be *read* by sight, not necessarily spelled conventionally. Invented/phonetic spelling is the official K writing standard (L.K.2.d)."
and,2,Late fall,Oct–Dec,2,both,ending-blend,stretch,no,later,3,L.1.2.d / grade 1 phonics (stretch for K); RF.K.3.c,Common K–1 phonics (digraphs and blends); Dolch Pre-primer (40); widely used in CA K for RF.K.3.c,"Many CA K programs introduce sh/th/ch and a few blends in spring; full mastery is grade 1. California requires these to be *read* by sight, not necessarily spelled conventionally. Invented/phonetic spelling is the official K writing standard (L.K.2.d)."
black,3,Winter,Jan–Mar,3,both,-ck,conventional-K,yes,good-fit,5,L.K.2.d; RF.K.3.a; RF.K.3.c,Common K phonics after CVC; Dolch Primer (52); typical CA end-of-K reading list together with Pre-primer,ck is a frequent K spelling of /k/ after a short vowel. End-of-kindergarten reading target in many CA districts is Pre-primer + Primer (~92 words). Spelling these irregular words conventionally is not a CA K requirement.
get,3,Winter,Jan–Mar,3,both,CVC-short-e,conventional-K,no,later,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d; RF.K.3.c,Kindergarten CVC / short-vowel sequence; Dolch Primer (52); typical CA end-of-K reading list together with Pre-primer,Short e is often the last short vowel in K. egg/bell add a doubled consonant. End-of-kindergarten reading target in many CA districts is Pre-primer + Primer (~92 words). Spelling these irregular words conventionally is not a CA K requirement.
yes,3,Winter,Jan–Mar,3,both,CVC-short-e,conventional-K,yes,later,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d; RF.K.3.c,Kindergarten CVC / short-vowel sequence; Dolch Primer (52); typical CA end-of-K reading list together with Pre-primer,Short e is often the last short vowel in K. egg/bell add a doubled consonant. End-of-kindergarten reading target in many CA districts is Pre-primer + Primer (~92 words). Spelling these irregular words conventionally is not a CA K requirement.
box,3,Winter,Jan–Mar,3,decodable,CVC-short-o,conventional-K,yes,start-here,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
cob,3,Winter,Jan–Mar,3,decodable,CVC-short-o,conventional-K,yes,good-fit,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
cod,3,Winter,Jan–Mar,3,decodable,CVC-short-o,conventional-K,yes,later,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
cop,3,Winter,Jan–Mar,3,decodable,CVC-short-o,conventional-K,yes,later,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
cot,3,Winter,Jan–Mar,3,decodable,CVC-short-o,conventional-K,yes,good-fit,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
dog,3,Winter,Jan–Mar,3,decodable,CVC-short-o,conventional-K,yes,start-here,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
dot,3,Winter,Jan–Mar,3,decodable,CVC-short-o,conventional-K,yes,start-here,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
fog,3,Winter,Jan–Mar,3,decodable,CVC-short-o,conventional-K,yes,start-here,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
fox,3,Winter,Jan–Mar,3,decodable,CVC-short-o,conventional-K,yes,start-here,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
got,3,Winter,Jan–Mar,3,decodable,CVC-short-o,conventional-K,no,later,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
hog,3,Winter,Jan–Mar,3,decodable,CVC-short-o,conventional-K,yes,good-fit,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
hop,3,Winter,Jan–Mar,3,decodable,CVC-short-o,conventional-K,yes,start-here,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
hot,3,Winter,Jan–Mar,3,decodable,CVC-short-o,conventional-K,yes,start-here,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
job,3,Winter,Jan–Mar,3,decodable,CVC-short-o,conventional-K,yes,good-fit,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
jog,3,Winter,Jan–Mar,3,decodable,CVC-short-o,conventional-K,yes,good-fit,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
log,3,Winter,Jan–Mar,3,decodable,CVC-short-o,conventional-K,yes,start-here,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
lot,3,Winter,Jan–Mar,3,decodable,CVC-short-o,conventional-K,no,later,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
mom,3,Winter,Jan–Mar,3,decodable,CVC-short-o,conventional-K,yes,start-here,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
mop,3,Winter,Jan–Mar,3,decodable,CVC-short-o,conventional-K,yes,start-here,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
nod,3,Winter,Jan–Mar,3,decodable,CVC-short-o,conventional-K,yes,good-fit,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
pod,3,Winter,Jan–Mar,3,decodable,CVC-short-o,conventional-K,yes,good-fit,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
pop,3,Winter,Jan–Mar,3,decodable,CVC-short-o,conventional-K,yes,start-here,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
pot,3,Winter,Jan–Mar,3,decodable,CVC-short-o,conventional-K,yes,start-here,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
rob,3,Winter,Jan–Mar,3,decodable,CVC-short-o,conventional-K,yes,later,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
rod,3,Winter,Jan–Mar,3,decodable,CVC-short-o,conventional-K,yes,good-fit,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
sob,3,Winter,Jan–Mar,3,decodable,CVC-short-o,conventional-K,yes,later,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
top,3,Winter,Jan–Mar,3,decodable,CVC-short-o,conventional-K,yes,start-here,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
tot,3,Winter,Jan–Mar,3,decodable,CVC-short-o,conventional-K,yes,good-fit,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
bud,3,Winter,Jan–Mar,3,decodable,CVC-short-u,conventional-K,yes,good-fit,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
bug,3,Winter,Jan–Mar,3,decodable,CVC-short-u,conventional-K,yes,start-here,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
bun,3,Winter,Jan–Mar,3,decodable,CVC-short-u,conventional-K,yes,start-here,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
bus,3,Winter,Jan–Mar,3,decodable,CVC-short-u,conventional-K,yes,start-here,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
but,3,Winter,Jan–Mar,3,both,CVC-short-u,conventional-K,no,later,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d; RF.K.3.c,Kindergarten CVC / short-vowel sequence; Dolch Primer (52); typical CA end-of-K reading list together with Pre-primer,Conventional spelling is the K target: map each sound to a letter (L.K.2.d). End-of-kindergarten reading target in many CA districts is Pre-primer + Primer (~92 words). Spelling these irregular words conventionally is not a CA K requirement.
cub,3,Winter,Jan–Mar,3,decodable,CVC-short-u,conventional-K,yes,start-here,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
cup,3,Winter,Jan–Mar,3,decodable,CVC-short-u,conventional-K,yes,start-here,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
cut,3,Winter,Jan–Mar,3,decodable,CVC-short-u,conventional-K,yes,good-fit,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
dug,3,Winter,Jan–Mar,3,decodable,CVC-short-u,conventional-K,yes,good-fit,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
fun,3,Winter,Jan–Mar,3,decodable,CVC-short-u,conventional-K,yes,good-fit,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
gum,3,Winter,Jan–Mar,3,decodable,CVC-short-u,conventional-K,yes,start-here,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
hug,3,Winter,Jan–Mar,3,decodable,CVC-short-u,conventional-K,yes,start-here,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
hum,3,Winter,Jan–Mar,3,decodable,CVC-short-u,conventional-K,yes,good-fit,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
hut,3,Winter,Jan–Mar,3,decodable,CVC-short-u,conventional-K,yes,good-fit,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
jug,3,Winter,Jan–Mar,3,decodable,CVC-short-u,conventional-K,yes,start-here,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
mud,3,Winter,Jan–Mar,3,decodable,CVC-short-u,conventional-K,yes,start-here,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
mug,3,Winter,Jan–Mar,3,decodable,CVC-short-u,conventional-K,yes,start-here,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
nut,3,Winter,Jan–Mar,3,decodable,CVC-short-u,conventional-K,yes,start-here,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
pup,3,Winter,Jan–Mar,3,decodable,CVC-short-u,conventional-K,yes,start-here,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
rub,3,Winter,Jan–Mar,3,decodable,CVC-short-u,conventional-K,yes,good-fit,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
rug,3,Winter,Jan–Mar,3,decodable,CVC-short-u,conventional-K,yes,start-here,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
sub,3,Winter,Jan–Mar,3,decodable,CVC-short-u,conventional-K,yes,good-fit,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
sum,3,Winter,Jan–Mar,3,decodable,CVC-short-u,conventional-K,yes,later,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
sun,3,Winter,Jan–Mar,3,decodable,CVC-short-u,conventional-K,yes,start-here,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
tub,3,Winter,Jan–Mar,3,decodable,CVC-short-u,conventional-K,yes,start-here,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
tug,3,Winter,Jan–Mar,3,decodable,CVC-short-u,conventional-K,yes,good-fit,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
yum,3,Winter,Jan–Mar,3,decodable,CVC-short-u,conventional-K,yes,good-fit,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Conventional spelling is the K target: map each sound to a letter (L.K.2.d).
he,3,Winter,Jan–Mar,3,high-frequency,HFW-primer,conventional-K,yes,later,2,RF.K.3.c,Dolch Primer (52); typical CA end-of-K reading list together with Pre-primer,End-of-kindergarten reading target in many CA districts is Pre-primer + Primer (~92 words). Spelling these irregular words conventionally is not a CA K requirement.
she,3,Winter,Jan–Mar,3,high-frequency,HFW-primer,conventional-K,yes,later,3,RF.K.3.c; RF.K.3.c (CA example words),"Dolch Primer (52); typical CA end-of-K reading list together with Pre-primer; CA CCSS RF.K.3.c example set (the, of, to, you, she, my, is, are, do, does)",End-of-kindergarten reading target in many CA districts is Pre-primer + Primer (~92 words). Spelling these irregular words conventionally is not a CA K requirement. CA RF.K.3.c example; short enough to spell by year-end.
back,4,End of year,Apr–Jun,4,decodable,-ck,conventional-K,yes,good-fit,4,L.K.2.d; RF.K.3.a,Common K phonics after CVC,ck is a frequent K spelling of /k/ after a short vowel.
duck,4,End of year,Apr–Jun,4,decodable,-ck,conventional-K,yes,good-fit,4,L.K.2.d; RF.K.3.a,Common K phonics after CVC,ck is a frequent K spelling of /k/ after a short vowel.
jack,4,End of year,Apr–Jun,4,decodable,-ck,conventional-K,yes,good-fit,4,L.K.2.d; RF.K.3.a,Common K phonics after CVC,ck is a frequent K spelling of /k/ after a short vowel.
kick,4,End of year,Apr–Jun,4,decodable,-ck,conventional-K,yes,good-fit,4,L.K.2.d; RF.K.3.a,Common K phonics after CVC,ck is a frequent K spelling of /k/ after a short vowel.
lick,4,End of year,Apr–Jun,4,decodable,-ck,conventional-K,yes,good-fit,4,L.K.2.d; RF.K.3.a,Common K phonics after CVC,ck is a frequent K spelling of /k/ after a short vowel.
lock,4,End of year,Apr–Jun,4,decodable,-ck,conventional-K,yes,good-fit,4,L.K.2.d; RF.K.3.a,Common K phonics after CVC,ck is a frequent K spelling of /k/ after a short vowel.
luck,4,End of year,Apr–Jun,4,decodable,-ck,conventional-K,no,later,4,L.K.2.d; RF.K.3.a,Common K phonics after CVC,ck is a frequent K spelling of /k/ after a short vowel.
neck,4,End of year,Apr–Jun,4,decodable,-ck,conventional-K,yes,good-fit,4,L.K.2.d; RF.K.3.a,Common K phonics after CVC,ck is a frequent K spelling of /k/ after a short vowel.
pack,4,End of year,Apr–Jun,4,decodable,-ck,conventional-K,yes,good-fit,4,L.K.2.d; RF.K.3.a,Common K phonics after CVC,ck is a frequent K spelling of /k/ after a short vowel.
peck,4,End of year,Apr–Jun,4,decodable,-ck,conventional-K,yes,good-fit,4,L.K.2.d; RF.K.3.a,Common K phonics after CVC,ck is a frequent K spelling of /k/ after a short vowel.
pick,4,End of year,Apr–Jun,4,decodable,-ck,conventional-K,yes,good-fit,4,L.K.2.d; RF.K.3.a,Common K phonics after CVC,ck is a frequent K spelling of /k/ after a short vowel.
puck,4,End of year,Apr–Jun,4,decodable,-ck,conventional-K,yes,good-fit,4,L.K.2.d; RF.K.3.a,Common K phonics after CVC,ck is a frequent K spelling of /k/ after a short vowel.
rock,4,End of year,Apr–Jun,4,decodable,-ck,conventional-K,yes,good-fit,4,L.K.2.d; RF.K.3.a,Common K phonics after CVC,ck is a frequent K spelling of /k/ after a short vowel.
sack,4,End of year,Apr–Jun,4,decodable,-ck,conventional-K,yes,good-fit,4,L.K.2.d; RF.K.3.a,Common K phonics after CVC,ck is a frequent K spelling of /k/ after a short vowel.
sick,4,End of year,Apr–Jun,4,decodable,-ck,conventional-K,yes,good-fit,4,L.K.2.d; RF.K.3.a,Common K phonics after CVC,ck is a frequent K spelling of /k/ after a short vowel.
sock,4,End of year,Apr–Jun,4,decodable,-ck,conventional-K,yes,good-fit,4,L.K.2.d; RF.K.3.a,Common K phonics after CVC,ck is a frequent K spelling of /k/ after a short vowel.
tack,4,End of year,Apr–Jun,4,decodable,-ck,conventional-K,yes,good-fit,4,L.K.2.d; RF.K.3.a,Common K phonics after CVC,ck is a frequent K spelling of /k/ after a short vowel.
tick,4,End of year,Apr–Jun,4,decodable,-ck,conventional-K,yes,good-fit,4,L.K.2.d; RF.K.3.a,Common K phonics after CVC,ck is a frequent K spelling of /k/ after a short vowel.
bed,4,End of year,Apr–Jun,4,decodable,CVC-short-e,conventional-K,yes,start-here,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Short e is often the last short vowel in K. egg/bell add a doubled consonant.
beg,4,End of year,Apr–Jun,4,decodable,CVC-short-e,conventional-K,yes,later,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Short e is often the last short vowel in K. egg/bell add a doubled consonant.
den,4,End of year,Apr–Jun,4,decodable,CVC-short-e,conventional-K,yes,good-fit,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Short e is often the last short vowel in K. egg/bell add a doubled consonant.
fed,4,End of year,Apr–Jun,4,decodable,CVC-short-e,conventional-K,yes,good-fit,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Short e is often the last short vowel in K. egg/bell add a doubled consonant.
hen,4,End of year,Apr–Jun,4,decodable,CVC-short-e,conventional-K,yes,start-here,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Short e is often the last short vowel in K. egg/bell add a doubled consonant.
jet,4,End of year,Apr–Jun,4,decodable,CVC-short-e,conventional-K,yes,start-here,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Short e is often the last short vowel in K. egg/bell add a doubled consonant.
leg,4,End of year,Apr–Jun,4,decodable,CVC-short-e,conventional-K,yes,start-here,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Short e is often the last short vowel in K. egg/bell add a doubled consonant.
let,4,End of year,Apr–Jun,4,decodable,CVC-short-e,conventional-K,no,later,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Short e is often the last short vowel in K. egg/bell add a doubled consonant.
men,4,End of year,Apr–Jun,4,decodable,CVC-short-e,conventional-K,yes,good-fit,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Short e is often the last short vowel in K. egg/bell add a doubled consonant.
met,4,End of year,Apr–Jun,4,decodable,CVC-short-e,conventional-K,no,later,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Short e is often the last short vowel in K. egg/bell add a doubled consonant.
net,4,End of year,Apr–Jun,4,decodable,CVC-short-e,conventional-K,yes,start-here,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Short e is often the last short vowel in K. egg/bell add a doubled consonant.
peg,4,End of year,Apr–Jun,4,decodable,CVC-short-e,conventional-K,yes,good-fit,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Short e is often the last short vowel in K. egg/bell add a doubled consonant.
pen,4,End of year,Apr–Jun,4,decodable,CVC-short-e,conventional-K,yes,start-here,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Short e is often the last short vowel in K. egg/bell add a doubled consonant.
pet,4,End of year,Apr–Jun,4,decodable,CVC-short-e,conventional-K,yes,start-here,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Short e is often the last short vowel in K. egg/bell add a doubled consonant.
set,4,End of year,Apr–Jun,4,decodable,CVC-short-e,conventional-K,yes,good-fit,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Short e is often the last short vowel in K. egg/bell add a doubled consonant.
ten,4,End of year,Apr–Jun,4,decodable,CVC-short-e,conventional-K,yes,start-here,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Short e is often the last short vowel in K. egg/bell add a doubled consonant.
vet,4,End of year,Apr–Jun,4,decodable,CVC-short-e,conventional-K,yes,start-here,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Short e is often the last short vowel in K. egg/bell add a doubled consonant.
web,4,End of year,Apr–Jun,4,decodable,CVC-short-e,conventional-K,yes,start-here,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Short e is often the last short vowel in K. egg/bell add a doubled consonant.
wed,4,End of year,Apr–Jun,4,decodable,CVC-short-e,conventional-K,yes,later,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Short e is often the last short vowel in K. egg/bell add a doubled consonant.
wet,4,End of year,Apr–Jun,4,decodable,CVC-short-e,conventional-K,yes,start-here,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Short e is often the last short vowel in K. egg/bell add a doubled consonant.
yet,4,End of year,Apr–Jun,4,decodable,CVC-short-e,conventional-K,no,later,3,RF.K.2.d; RF.K.3.a; RF.K.3.b; L.K.2.d,Kindergarten CVC / short-vowel sequence,Short e is often the last short vowel in K. egg/bell add a doubled consonant.
ball,4,End of year,Apr–Jun,4,vocabulary,CVCC,conventional-K,yes,start-here,4,L.K.5; L.K.6; RF.K.4,Dolch nouns / common K picture vocabulary (not an official CDE list),Good MoviEdu picture words. Only band 4 items are fair conventional-spelling targets in kindergarten.
